종목코드,종목명,유형,포함버전,corp_code,대상연도,대상분기,분기,발표일,접수번호,세부구분,정보출처,공시명,첫거래일,상장후개월,상장직후
257720,실리콘투,유통,v1,982023,2026,1,2026Q1,2026-05-12,20260512900303,연결잠정,잠정실적,연결재무제표기준영업(잠정)실적(공정공시),2021-09-29,55.4,False
257720,실리콘투,유통,v1,982023,2026,2,2026Q2,2026-08-12,20260812900140,연결잠정,잠정실적,연결재무제표기준영업(잠정)실적(공정공시),2021-09-29,58.4,False
278470,에이피알,브랜드,v1,1190568,2023,4,2023Q4,2024-03-21,20240321000964,정기보고서,정기보고서,사업보고서 (2023.12),2024-02-27,0.8,True
278470,에이피알,브랜드,v1,1190568,2024,1,2024Q1,2024-05-02,20240502800155,연결잠정,잠정실적,연결재무제표기준영업(잠정)실적(공정공시),2024-02-27,2.1,True
278470,에이피알,브랜드,v1,1190568,2024,2,2024Q2,2024-07-31,20240731800065,연결잠정,잠정실적,연결재무제표기준영업(잠정)실적(공정공시),2024-02-27,5.1,True
278470,에이피알,브랜드,v1,1190568,2024,3,2024Q3,2024-11-06,20241106800193,연결잠정,잠정실적,연결재무제표기준영업(잠정)실적(공정공시),2024-02-27,8.3,False
278470,에이피알,브랜드,v1,1190568,2024,4,2024Q4,2025-02-10,20250210800667,연결잠정,잠정실적,연결재무제표기준영업(잠정)실적(공정공시),2024-02-27,11.5,False
278470,에이피알,브랜드,v1,1190568,2025,1,2025Q1,2025-05-08,20250508800069,연결잠정,잠정실적,연결재무제표기준영업(잠정)실적(공정공시),2024-02-27,14.3,False
278470,에이피알,브랜드,v1,1190568,2025,2,2025Q2,2025-08-06,20250806800043,연결잠정,잠정실적,연결재무제표기준영업(잠정)실적(공정공시),2024-02-27,17.3,False
278470,에이피알,브랜드,v1,1190568,2025,3,2025Q3,2025-11-06,20251106800081,연결잠정,잠정실적,연결재무제표기준영업(잠정)실적(공정공시),2024-02-27,20.3,False
278470,에이피알,브랜드,v1,1190568,2025,4,2025Q4,2026-02-04,20260204800151,연결잠정,잠정실적,연결재무제표기준영업(잠정)실적(공정공시),2024-02-27,23.3,False
278470,에이피알,브랜드,v1,1190568,2026,1,2026Q1,2026-05-07,20260507800150,연결잠정,잠정실적,연결재무제표기준영업(잠정)실적(공정공시),2024-02-27,26.3,False
278470,에이피알,브랜드,v1,1190568,2026,2,2026Q2,2026-08-05,20260805800100,연결잠정,잠정실적,연결재무제표기준영업(잠정)실적(공정공시),2024-02-27,29.2,False
483650,달바글로벌,브랜드,v1,1649204,2025,2,2025Q2,2025-08-08,20250808800414,연결잠정,잠정실적,연결재무제표기준영업(잠정)실적(공정공시),2025-05-22,2.6,True
483650,달바글로벌,브랜드,v1,1649204,2025,3,2025Q3,2025-11-05,20251105800352,연결잠정,잠정실적,연결재무제표기준영업(잠정)실적(공정공시),2025-05-22,5.5,True
483650,달바글로벌,브랜드,v1,1649204,2025,4,2025Q4,2026-02-20,20260220800169,연결잠정,잠정실적,연결재무제표기준영업(잠정)실적(공정공시),2025-05-22,9.0,False
483650,달바글로벌,브랜드,v1,1649204,2026,1,2026Q1,2026-05-12,20260512800165,연결잠정,잠정실적,연결재무제표기준영업(잠정)실적(공정공시),2025-05-22,11.7,False
483650,달바글로벌,브랜드,v1,1649204,2026,2,2026Q2,2026-08-13,20260813800135,연결잠정,잠정실적,연결재무제표기준영업(잠정)실적(공정공시),2025-05-22,14.7,False
