일자,지수종가,시장,지수수익률
2021-10-27,3025.49,KOSPI,-0.0077367599407034415
2021-10-28,3009.55,KOSPI,-0.005268568066660095
2021-10-29,2970.68,KOSPI,-0.012915552158960786
2021-11-01,2978.94,KOSPI,0.0027805081664804554
2021-11-02,3013.49,KOSPI,0.011598085224945764
2021-11-03,2975.71,KOSPI,-0.01253695880855743
2021-11-04,2983.22,KOSPI,0.002523767437014879
2021-11-05,2969.27,KOSPI,-0.004676155295284867
2021-11-08,2960.2,KOSPI,-0.0030546228534287234
2021-11-09,2962.46,KOSPI,0.0007634619282481658
2021-11-10,2930.17,KOSPI,-0.01089972522835747
2021-11-11,2924.92,KOSPI,-0.001791704918144732
2021-11-12,2968.8,KOSPI,0.015002119716094775
2021-11-15,2999.52,KOSPI,0.010347615198059712
2021-11-16,2997.21,KOSPI,-0.0007701232197151464
2021-11-17,2962.42,KOSPI,-0.011607461605960157
2021-11-18,2947.38,KOSPI,-0.0050769303474861305
2021-11-19,2971.02,KOSPI,0.008020682775889076
2021-11-22,3013.25,KOSPI,0.014213973652146494
2021-11-23,2997.33,KOSPI,-0.005283331950551751
2021-11-24,2994.29,KOSPI,-0.0010142360033763564
2021-11-25,2980.27,KOSPI,-0.004682245206710123
2021-11-26,2936.44,KOSPI,-0.01470672120311245
2021-11-29,2909.32,KOSPI,-0.009235673128005328
2021-11-30,2839.01,KOSPI,-0.024167159336202282
2021-12-01,2899.72,KOSPI,0.021384214919989653
2021-12-02,2945.27,KOSPI,0.015708413226104723
2021-12-03,2968.33,KOSPI,0.007829502897866769
2021-12-06,2973.25,KOSPI,0.001657497650193962
2021-12-07,2991.72,KOSPI,0.006212057512822611
2021-12-08,3001.8,KOSPI,0.0033692992659741794
2021-12-09,3029.57,KOSPI,0.009251115997068515
2021-12-10,3010.23,KOSPI,-0.006383744227728694
2021-12-13,3001.66,KOSPI,-0.002846958538051947
2021-12-14,2987.95,KOSPI,-0.0045674726651253605
2021-12-15,2989.39,KOSPI,0.00048193577536448373
2021-12-16,3006.41,KOSPI,0.005693469236198734
2021-12-17,3017.73,KOSPI,0.003765288167615344
2021-12-20,2963.0,KOSPI,-0.018136148694548604
2021-12-21,2975.03,KOSPI,0.004060074249071954
2021-12-22,2984.48,KOSPI,0.0031764385569219566
2021-12-23,2998.17,KOSPI,0.004587063743097586
2021-12-24,3012.43,KOSPI,0.004756234636461576
2021-12-27,2999.55,KOSPI,-0.0042756180226593
2021-12-28,3020.24,KOSPI,0.006897701321864735
2021-12-29,2993.29,KOSPI,-0.008923131936534823
2021-12-30,2977.65,KOSPI,-0.005225019961313415
2022-01-03,2988.77,KOSPI,0.0037344886067871563
2022-01-04,2989.24,KOSPI,0.00015725532576937873
2022-01-05,2953.97,KOSPI,-0.011798985695360642
2022-01-06,2920.53,KOSPI,-0.011320358703710509
2022-01-07,2954.89,KOSPI,0.011764987861792031
2022-01-10,2926.72,KOSPI,-0.009533349803207636
2022-01-11,2927.38,KOSPI,0.00022550841898105745
2022-01-12,2972.48,KOSPI,0.015406267720623923
2022-01-13,2962.09,KOSPI,-0.0034953977823231064
2022-01-14,2921.92,KOSPI,-0.01356137051878914
2022-01-17,2890.1,KOSPI,-0.010890099660497254
2022-01-18,2864.24,KOSPI,-0.008947787273796748
2022-01-19,2842.28,KOSPI,-0.007666955283076704
2022-01-20,2862.68,KOSPI,0.007177336504496257
2022-01-21,2834.29,KOSPI,-0.00991728031075767
2022-01-24,2792.0,KOSPI,-0.014920844373723208
2022-01-25,2720.39,KOSPI,-0.02564828080229231
2022-01-26,2709.24,KOSPI,-0.004098677027926212
2022-01-27,2614.49,KOSPI,-0.034972907531263364
2022-01-28,2663.34,KOSPI,0.01868433231720168
2022-02-03,2707.82,KOSPI,0.016700834290777733
2022-02-04,2750.26,KOSPI,0.015673124506060176
2022-02-07,2745.06,KOSPI,-0.001890730330950663
2022-02-08,2746.47,KOSPI,0.0005136499748639167
2022-02-09,2768.85,KOSPI,0.008148641710996385
2022-02-10,2771.93,KOSPI,0.0011123751738086884
2022-02-11,2747.71,KOSPI,-0.008737594383696479
2022-02-14,2704.48,KOSPI,-0.015733101382605863
2022-02-15,2676.54,KOSPI,-0.010331006330237202
2022-02-16,2729.68,KOSPI,0.019853990599804083
2022-02-17,2744.09,KOSPI,0.005279007063099028
2022-02-18,2744.52,KOSPI,0.00015670039976822814
2022-02-21,2743.8,KOSPI,-0.00026234095579547034
2022-02-22,2706.79,KOSPI,-0.013488592463007598
2022-02-23,2719.53,KOSPI,0.0047066820846835
2022-02-24,2648.8,KOSPI,-0.026008170529466468
2022-02-25,2676.76,KOSPI,0.010555723346421075
2022-02-28,2699.18,KOSPI,0.008375797606060997
2022-03-02,2703.52,KOSPI,0.0016078957312961606
2022-03-03,2747.08,KOSPI,0.016112327632124
2022-03-04,2713.43,KOSPI,-0.012249370240400737
2022-03-07,2651.31,KOSPI,-0.02289353327706989
2022-03-08,2622.4,KOSPI,-0.01090404366143527
2022-03-10,2680.32,KOSPI,0.02208663819402079
2022-03-11,2661.28,KOSPI,-0.007103629417382962
2022-03-14,2645.65,KOSPI,-0.005873113689653153
2022-03-15,2621.53,KOSPI,-0.009116852191332847
