모형,종속변수,변수,계수,표준오차,t값,p값,유의
기본,CAR_0_1,const,-0.1236653033409533,0.16319570632176605,-0.7577730206769513,0.44858687624660565,
기본,CAR_0_1,매출YoY,0.051691833861967414,0.020126556508583998,2.568339687910388,0.010218696561356724,**
기본,CAR_0_1,OPM변화,0.2267242169621989,0.15817289159265607,1.433394905279241,0.15174501354414974,
기본,CAR_0_1,추세이탈도,0.5756188980648876,0.16997613724949942,3.386468873686461,0.0007079830738441018,***
기본,CAR_0_1,CAR_PRE,-0.011609939584890466,0.05456181781302703,-0.21278505831084146,0.8314946186067205,
기본,CAR_0_1,로그자산,0.004107029624263461,0.0061018251589096744,0.6730821544872551,0.5008950263904361,
기본,CAR_0_1,잠정실적더미,-0.002469232165581522,0.014620900925427397,-0.16888372188387163,0.865888103331391,
윈저라이징,CAR_0_1,const,-0.11695825863153753,0.1545503879460279,-0.7567645748801465,0.44919091975121217,
윈저라이징,CAR_0_1,매출YoY,0.042341477436127394,0.015020796347401947,2.8188570337318324,0.004819497882726678,***
윈저라이징,CAR_0_1,OPM변화,0.23062595326049312,0.15370721900306805,1.5004236935409634,0.1335046858719248,
윈저라이징,CAR_0_1,추세이탈도,0.5436180148838872,0.15623045391080567,3.479590574538348,0.0005021805865760531,***
윈저라이징,CAR_0_1,CAR_PRE,-0.01532689204798127,0.05645910887509201,-0.2714688976386415,0.7860304179231107,
윈저라이징,CAR_0_1,로그자산,0.0037966854005012326,0.005850499285789962,0.6489506647275124,0.5163702652750256,
윈저라이징,CAR_0_1,잠정실적더미,0.002023703257941738,0.016131132544421143,0.12545326574987592,0.9001647211854633,
실리콘투제외,CAR_0_1,const,-0.14419438945466012,0.15089166355507963,-0.95561534717937,0.33926660489535754,
실리콘투제외,CAR_0_1,매출YoY,0.03155803624363521,0.01672821022377254,1.8865160003063526,0.05922545433464016,*
실리콘투제외,CAR_0_1,OPM변화,0.2546214237652161,0.16054365879556126,1.5859948980573249,0.11274046691250882,
실리콘투제외,CAR_0_1,추세이탈도,0.49255962671902354,0.16582664390294788,2.970328622264708,0.002974813358792865,***
실리콘투제외,CAR_0_1,CAR_PRE,0.002505192255147946,0.06005358566628882,0.041715947971350524,0.9667251403853029,
실리콘투제외,CAR_0_1,로그자산,0.005169157888867424,0.005545488423711099,0.9321375312525076,0.3512654541219219,
실리콘투제외,CAR_0_1,잠정실적더미,-0.005451798163551652,0.015213046084172292,-0.35836335033676936,0.7200714149844001,
달바제외,CAR_0_1,const,-0.12061371415701976,0.1662453760755519,-0.7255162038444043,0.4681354077648172,
달바제외,CAR_0_1,매출YoY,0.05166650618181773,0.02057162917638528,2.511541781101474,0.012020505565748423,**
달바제외,CAR_0_1,OPM변화,0.23711222653020728,0.16078003150003672,1.4747616623657218,0.14027663161970394,
달바제외,CAR_0_1,추세이탈도,0.5454810058566795,0.17263028807392677,3.1598221374865805,0.0015786547763408253,***
달바제외,CAR_0_1,CAR_PRE,-0.015296617157284836,0.054718649245227624,-0.2795503428590017,0.7798225092122335,
달바제외,CAR_0_1,로그자산,0.0039894656254651165,0.00622744537736105,0.6406263537803518,0.5217654730635162,
달바제외,CAR_0_1,잠정실적더미,-0.001819908466188346,0.014867061826051917,-0.12241211393896781,0.9025726451263472,
윈도우_0_5,CAR_0_5,const,-0.08567006925067437,0.1293357373642356,-0.6623851303326175,0.5077244309059485,
윈도우_0_5,CAR_0_5,매출YoY,0.03455217240439675,0.032470511497649394,1.0641092736373448,0.28727920028551934,
윈도우_0_5,CAR_0_5,OPM변화,0.274524054165199,0.12588688009238833,2.180720135122309,0.029204122828822236,**
윈도우_0_5,CAR_0_5,추세이탈도,0.7048870477146021,0.246653610288543,2.857801460477321,0.004265872100476631,***
윈도우_0_5,CAR_0_5,CAR_PRE,-0.03197393203684656,0.07154856699429224,-0.44688431061655315,0.6549585926525813,
윈도우_0_5,CAR_0_5,로그자산,0.0032347514073483726,0.004772746057970433,0.677754770117378,0.49792719323270984,
윈도우_0_5,CAR_0_5,잠정실적더미,-0.01693681307854793,0.015302111650939481,-1.1068284864793865,0.2683680895359448,
윈도우0_20,CAR_0_20,const,-0.06416491557443185,0.11354774002062223,-0.5650919653951579,0.5720112131606577,
윈도우0_20,CAR_0_20,매출YoY,0.09928916729180196,0.02288644163517336,4.338340091244589,1.4356288270490084e-05,***
윈도우0_20,CAR_0_20,OPM변화,-0.11006299146816978,0.24467881124606686,-0.4498264108267324,0.6528356126187717,
윈도우0_20,CAR_0_20,추세이탈도,0.8402748570460354,0.36938508463778086,2.274793682776903,0.02291830938000107,**
윈도우0_20,CAR_0_20,CAR_PRE,0.09800252289198975,0.11540224325950552,0.8492254580494685,0.39575584989752743,
윈도우0_20,CAR_0_20,로그자산,0.0016900570782781405,0.004170040987155106,0.40528548364008643,0.6852676756219758,
윈도우0_20,CAR_0_20,잠정실적더미,-0.009980017062205637,0.0192412961570629,-0.5186769633781805,0.6039860288165148,
