종목코드,종목명,분기,발표일,정보출처,유형,포함버전,상장직후,거래일t0,모델,추정관측수,alpha,beta_시장,beta_섹터,R2,CAR_0_1,CAR_0_5,CAR_0_20,CAR_PRE,이벤트키,사유,매출액,영업이익,OPM,자산총계,매출YoY,OPM변화,추세이탈도,흑자전환,적자전환,적자지속,로그자산,기준,산출방식,잠정실적더미,분석표본
018290,브이티,2022Q3,2022-11-11,정기보고서,브랜드,v1,False,2022-11-11,2팩터시장모델,220,-0.0011806850347025,0.6969406148420156,0.2661954985288589,0.518530908482923,-0.0217820860030763,-0.0138269814126022,-0.0216959119904327,0.0338930978150153,018290_2022Q3,,53553796879.0,2655552956.0,0.0495866420451939,198642906047.0,0.12704113011760843,-0.0351093817613781,-0.09253344163807001,0,0,0,26.014774607756387,연결,직접,0,True
018290,브이티,2022Q4,2023-02-28,잠정실적,브랜드,v1,False,2023-02-28,2팩터시장모델,220,-0.0005779883733955,0.6333945622573482,0.1983920480899837,0.4301450205705087,0.0256959744482644,0.0204710850536791,0.1311709042991185,-0.0661476772590063,018290_2022Q4,,72156451822.0,7152186899.0,0.0991205459581557,220697040717.0,-0.13699389607283313,-0.015981379890812303,0.09088195320602775,0,0,0,26.12005674149664,연결,역산,1,True
018290,브이티,2023Q1,2023-05-15,정기보고서,브랜드,v1,False,2023-05-15,2팩터시장모델,220,-0.000168615620631,0.6629297767258424,0.2396931887030459,0.4054841608363422,0.0114304826523074,0.0033073634482229,0.1102543394298472,-0.0842166154201864,018290_2023Q1,,47886326320.0,617719011.0,0.0128996951420348,245744713745.0,-0.16437739852864916,-0.1309507242424761,-0.07811178576331429,0,0,0,26.227559085040397,연결,직접,0,True
018290,브이티,2023Q2,2023-08-11,정기보고서,브랜드,v1,False,2023-08-11,2팩터시장모델,220,0.0024074427795704,0.6353595575766935,0.2379669154406998,0.1903406475244556,0.0739690687385065,0.025376331801118,0.42750311297437,0.0558433479993634,018290_2023Q2,,74694470696.0,11716013172.0,0.1568524826915656,224612506873.0,0.3052793583190565,0.0607130345202572,0.13753341310644207,0,0,0,26.137642562798348,연결,직접,0,True
018290,브이티,2023Q3,2023-11-09,정기보고서,브랜드,v1,False,2023-11-09,2팩터시장모델,220,0.0057012008970913,0.5483158875065988,0.4559783917469119,0.1370805819194347,0.0131728823430152,0.0895227890238554,-0.2193080347311777,0.0289856335743352,018290_2023Q3,,84105922279.0,14377651343.0,0.1709469553797389,242952178866.0,0.5704941046295893,0.121360313334545,0.04376095099808423,0,0,0,26.2161304661302,연결,직접,0,True
018290,브이티,2023Q4,2024-02-26,잠정실적,브랜드,v1,False,2024-02-26,2팩터시장모델,220,0.0049741199341812,0.8756302160810021,0.5659199018510017,0.1976997493719697,-0.0660996692913823,-0.1396666595612865,-0.1462801523278528,-0.0314574847967825,018290_2023Q4,,88814664258.0,18835229927.0,0.2120734237342277,256624726190.0,0.23086241098846585,0.11295287777607199,0.024496691685731667,0,0,0,26.270880645319522,연결,역산,1,True
018290,브이티,2024Q1,2024-05-13,정기보고서,브랜드,v1,False,2024-05-13,2팩터시장모델,220,0.0051216512445362,0.9404627640587244,0.7839639829334973,0.2198485554868317,0.0014168189641939,0.0304426229054965,0.085923142406677,-0.024171128737145,018290_2024Q1,,101800273659.0,23964930578.0,0.235411258895779,298560858042.0,1.12587353180364,0.2225115637537442,-0.01719313172833764,0,0,0,26.422239628536147,연결,직접,0,True
018290,브이티,2024Q2,2024-08-12,정기보고서,브랜드,v1,False,2024-08-12,2팩터시장모델,220,0.0067569035672853,0.8755960855442453,1.051956818288758,0.2918450651727166,-0.125488978896359,-0.1733941731598594,-0.1260806907357109,0.269965354169994,018290_2024Q2,,113352649646.0,27022616665.0,0.2383942214795291,309314047680.0,0.5175507449183947,0.0815417387879635,-0.0044279713978235685,0,0,0,26.45762293325885,연결,직접,0,True
018290,브이티,2024Q3,2024-11-14,정기보고서,브랜드,v1,False,2024-11-14,2팩터시장모델,220,0.003449352495881,1.0215998971522984,1.1237823298493776,0.3576487927474562,0.0459899002028902,0.0558684693650427,0.3447547276330892,0.1496731899288285,018290_2024Q3,,104139979284.0,30833354335.0,0.2960760559680389,341922529353.0,0.2382003129166352,0.12512910058829999,-0.00943827677187768,0,0,0,26.557850025989303,연결,직접,0,True
018290,브이티,2024Q4,2025-02-26,잠정실적,브랜드,v1,False,2025-02-26,2팩터시장모델,220,0.0061057215990165,1.3571873509492112,1.308908242275486,0.4581951168000105,-0.0524462695552481,-0.1197634173577941,-0.2220432645662394,-0.0490304867404436,018290_2024Q4,,112403907372.0,29077758486.0,0.2586899260518351,359606110018.0,0.26560076887162465,0.04661650231760742,-0.05203813065538563,0,0,0,26.60827513055081,연결,역산,1,True
