이벤트키,-20,-19,-18,-17,-16,-15,-14,-13,-12,-11,-10,-9,-8,-7,-6,-5,-4,-3,-2,-1,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
018290_2022Q3,-0.01774184469209345,0.00016773024805866632,0.006089800495584358,0.0569422139516688,0.00573329440212689,-0.012930035492467018,-0.007228380769338497,-0.0008234893972775504,-0.0010031114900310167,-0.014755587139222877,-0.01326225014354264,0.009214359805713761,-0.00015600157559349497,0.012276453984166647,0.0035717067118585253,-0.0014023237819542102,0.011991597714282261,-0.012882228756411556,-0.008598986408161239,0.018690180147648942,-0.020245873111939695,-0.0015362128911366704,0.005318747355157846,0.0049824571354525485,-0.00833051381027383,0.005984413910137506,0.007519466737390885,-0.009391204289598509,0.004583220893642326,0.027331992321867855,-0.003941704967954794,0.0051084254686106535,-0.014311415255068209,-0.0042293643854239,-0.012776395501580861,8.134649453963097e-05,0.0028715733350536954,0.0029455915543389923,-0.00988391169766999,0.008459093108453143,-0.012235644394431365
018290_2022Q4,0.003218762984115403,-0.00806337541893737,0.015302483758770972,0.0067178816171683566,-0.010899284518637385,-0.014399148576212356,-0.0038737610738711183,-0.002860674876979559,0.015457781924916088,-0.00553353837753095,-0.00927126644563547,-0.021043159137219613,-0.003493314467122999,0.006589534206187335,0.0030539847715789267,-0.01191514041657705,-0.0077202825116461146,0.00903827546961088,-0.012924617422899187,-0.013528818748085107,0.002563748047391139,0.023132226400873312,-0.009332937548341715,-0.006552028334852055,0.014578592300347831,-0.003918515811739384,-0.0022581646731309225,0.0003237841981792444,-0.024215468434425704,-0.01314992620684352,0.040344915595925,-0.01565418320564685,-0.007978023167636532,0.04142739239781958,-0.008049934947555815,-0.015091227758124631,0.0008961244272739324,0.02312259192195687,0.009642757602196812,0.07671270986667297,0.00462647162877897
018290_2023Q1,-0.015831817433109668,-0.017198305187527813,-0.009642531153096162,-0.0009480237382550379,-0.026269807303470703,-0.010463760759925549,0.004560617272280406,0.012092002579164396,-0.017101852990726446,-0.006221302813580149,-0.026829856357100508,-0.00279486962637728,0.03911883741792836,0.023368661539331988,-0.02851721034324562,-0.004653281587609317,0.010916048132921106,-0.0030174142544238183,-0.005923264937470881,0.0011405161241061859,-0.003340281902956016,0.014770764555263508,-0.017449560143867997,0.010391281248962565,-0.0038031648631807226,0.002738324554001633,-0.023564586869481603,0.0020262781895199885,0.01748392803094965,0.006363112438606867,0.0026986535717554152,-0.0067484348362798156,0.08741463943250806,0.030423681062662966,-0.04506717539647749,0.05554013677302528,-0.005269537081752432,-0.009370750134782854,-0.059732264115219244,0.09042565942276141,-0.03567636450617197
018290_2023Q2,-0.05231645360588739,-0.005985720993458509,0.0024114375201430838,-0.005423450879148689,-0.002818136391924041,-0.0005099727463968959,-0.000639353983367718,-0.024508125993008088,-0.024811511121768378,0.002539398852943414,0.030820007573222095,-0.027941083833293447,0.10980050241512972,0.007373253877185978,-0.020059491770627817,0.03861579699001595,0.028179738891240494,-0.010463567354940665,-0.0379264103680162,0.04950649092132052,0.02060949701351974,0.05335957172498685,-0.01767624079028335,-0.03815651580316622,0.027347346799971813,-0.020107327143910742,0.05845987926851089,0.032550540495047346,0.01756006945019375,-0.017189237602524676,-0.018687190596774306,0.0455526665645137,-0.02239205127316654,0.06183638764779027,0.09284763649802809,0.011107209718788633,0.04313829952048047,-0.00827914815628516,-0.03231108698119972,0.05230617608927121,0.08562663053057794
018290_2023Q3,0.042318521093607855,-0.02258681011312403,0.0060517047168768216,0.04194033441219816,0.007862990243677715,-0.04556613739656915,-0.020485302466359535,-0.0013080595491840024,0.032166168790753215,-0.012766934748499253,0.003269645812767511,-0.061775918848678946,0.006679192203927549,0.006850484236554577,-0.03250678680248569,0.07358861935158478,0.07716355318599671,-0.04405229809650135,-0.014295450891920702,-0.013561881560286959,-0.02740137036767037,0.0405742527106856,-0.03758351646531131,0.02851739193912197,0.04321162985769428,0.04220440134933531,-0.018611130870099413,-0.0014533136937382018,-0.04377928755481088,-0.06346932631692634,-0.04273464557899778,-0.013296121247108779,-0.010612985046758169,-0.004739206137857023,0.03213753769686151,-0.015857827000320943,-0.12190978559147303,0.03443497402279341,-0.04518567470976698,0.04530103847743905,-0.039055070204269626
018290_2023Q4,-0.026601644971209253,-0.023366866220668175,-0.010566704325516194,0.07114064911869318,-0.009778408042932597,-0.05533506030717975,-0.02182226592367241,-0.005376225415361036,0.03139947299548165,-0.02371381956570924,-0.03398140635978186,0.007715348107813373,0.1637660160294488,-0.05747701212819586,-0.025605963714452156,0.0029249085670517627,-0.037077694452384756,0.030592987635949385,0.019031580206338057,-0.02732537603049546,-0.000995159937323204,-0.06510450935405912,0.007120061604221652,-0.004110144681049524,-0.07029981645611223,-0.006277090736964077,0.008462107702575014,0.012089081115447837,-0.019572955508561654,0.007084546839918086,-0.02388381985676372,0.05449636006355125,0.050845925331278026,-0.04952881439970389,0.00887228697005751,0.02528444599989254,-0.006797626443545636,-0.05796185827063342,-0.02795316906543226,0.01985108732942728,-0.007901090574073299
018290_2024Q1,0.014568612887747346,-0.004657265696833217,-0.035616438348402876,-0.02371371746562418,0.018077034479017633,0.02255021069541366,0.024520423775980696,-0.002584971790282733,0.06613487502842448,-0.03094032901976356,-0.039058972030345626,0.005247944836324143,-0.04421129655163568,-0.003038422717300218,-0.0322536190261203,-0.012741272894768528,-0.03067255993553777,-0.006520541437100105,-0.005553310756327819,0.09629248722998962,-0.048140970460871776,0.049557789425065724,-0.010715119399332269,0.04941182199924212,-0.009172903562573336,-0.0004979950960339458,-0.02040225898309687,0.009794390319208729,-0.025343096948541293,0.000391453795949067,0.07622919498763181,0.030572849851971985,-0.0006161431813792861,-0.019433849905256824,0.05435344934053454,-0.007560540413129008,0.05027715718399628,-0.02850756154018003,-0.00677996442288675,-0.035191387619833134,-0.022303172963808716
018290_2024Q2,-0.029895356154332677,0.020124234597701712,0.1142821920937453,-0.039612361108805616,0.14096546228269766,-0.0044723594880441316,-0.028811207402683132,-0.04166352329807217,-0.0013730110080984112,0.012105520258978719,0.02462261234077609,-0.011101113955140483,-0.03146375898382264,0.005446818398838153,-0.022630955458947166,0.06184619867299408,0.005280133386979982,0.04567665893031858,0.030178381847758583,0.020460788217151624,-0.06719391687991147,-0.058295062016447574,-0.05506212968950223,0.019797395467464812,-0.010972631772769572,-0.0016678282686934148,-0.03117674935121956,-0.027743009698661572,-0.005602817717397934,0.008605547213450304,0.03089685386747245,0.012724889763474821,-0.033660494347549794,0.00255116920530166,0.02054052580904834,-0.0153589908192699,0.016100468833059697,-0.02697076791136882,0.06622609500184116,0.026231560253472286,0.003949202322495349
018290_2024Q3,0.011667492590156696,-0.024291318005659056,0.0070367421287521395,-0.009392270694002176,-0.006394268916214894,0.03347051900360438,-0.0016263439088738327,-0.0009993900073911356,0.02442360192773706,-0.004086844017400632,0.06970901110390623,-0.010950941517788124,-0.04418459313476622,0.0039793698826565745,-0.0034905623274294464,0.013399985957558393,0.05903942214846031,0.06007521320369628,0.010479134437939422,-0.03819076992611342,-0.0005188985989755604,0.046508798801865765,-0.052435478092182845,0.010299500394718917,0.026084890111615675,0.025929656748000778,-0.055289158425494145,-0.0033222522130497006,0.029859783822720126,-0.008992627010991626,0.004792636670538473,0.010483551640315114,-0.029782250969750984,0.16962385523525159,0.07877953541082988,0.022046265801880637,0.010795309449634145,0.003902157095978076,0.11660426759746029,-0.03991340557570801,-0.020701410261567434
018290_2024Q4,-0.0495940722398813,-0.03797836491421179,-0.0363102011138601,0.044379703694222894,0.00983944380602024,-0.006477584682523411,0.00031847163543059775,0.0021483611991375672,-0.012149333075712842,0.06811910955413311,-0.035963372309291315,-0.04255621405832304,-0.04021891869451612,0.0006896964271387019,0.03236350194721459,-0.01484869259272797,-0.0017059819215654755,0.036423889283577766,0.03579798881462117,-0.0013079174993269448,-0.049655872084475985,-0.002790397470772178,-0.021703897855142117,0.016013502144004016,-0.05840247284853752,-0.00322427924287038,-0.0025146053137162297,0.008850013138846737,-0.022339454965886393,0.01948074247306196,-0.023865871743678456,-0.005723755304934012,0.00048136101962669483,0.008244393769567709,0.009906308542192674,-0.05789404669381763,-0.013043591945880369,-0.021844606924183177,-0.0064753634833621745,0.01434081274376674,-0.009882182520049384
