일자,종가,거래량,종목코드,종목명,수익률
2021-09-24,184500,243545,090430,아모레퍼시픽,-0.02638522427440637
2021-09-27,184000,163383,090430,아모레퍼시픽,-0.0027100271002710175
2021-09-28,178000,404535,090430,아모레퍼시픽,-0.03260869565217395
2021-09-29,180000,309076,090430,아모레퍼시픽,0.011235955056179803
2021-09-30,178500,158040,090430,아모레퍼시픽,-0.008333333333333304
2021-10-01,173500,218956,090430,아모레퍼시픽,-0.02801120448179273
2021-10-05,178000,411131,090430,아모레퍼시픽,0.025936599423631135
2021-10-06,177500,263969,090430,아모레퍼시픽,-0.002808988764044895
2021-10-07,182000,372464,090430,아모레퍼시픽,0.025352112676056304
2021-10-08,181500,281216,090430,아모레퍼시픽,-0.0027472527472527375
2021-10-12,174500,388510,090430,아모레퍼시픽,-0.038567493112947604
2021-10-13,175500,164081,090430,아모레퍼시픽,0.005730659025787954
2021-10-14,183000,282668,090430,아모레퍼시픽,0.042735042735042805
2021-10-15,186500,225191,090430,아모레퍼시픽,0.0191256830601092
2021-10-18,188500,209221,090430,아모레퍼시픽,0.01072386058981234
2021-10-19,190000,188051,090430,아모레퍼시픽,0.007957559681697646
2021-10-20,192500,256326,090430,아모레퍼시픽,0.013157894736842035
2021-10-21,186000,288594,090430,아모레퍼시픽,-0.03376623376623378
2021-10-22,186500,158610,090430,아모레퍼시픽,0.0026881720430107503
2021-10-25,192500,238509,090430,아모레퍼시픽,0.03217158176943702
2021-10-26,190000,248790,090430,아모레퍼시픽,-0.012987012987012991
2021-10-27,183500,414339,090430,아모레퍼시픽,-0.03421052631578947
2021-10-28,185500,268262,090430,아모레퍼시픽,0.01089918256130784
2021-10-29,181500,209653,090430,아모레퍼시픽,-0.021563342318059342
2021-11-01,191000,473538,090430,아모레퍼시픽,0.052341597796143224
2021-11-02,190500,222404,090430,아모레퍼시픽,-0.002617801047120394
2021-11-03,189000,124909,090430,아모레퍼시픽,-0.007874015748031482
2021-11-04,187000,170136,090430,아모레퍼시픽,-0.010582010582010581
2021-11-05,188000,141891,090430,아모레퍼시픽,0.005347593582887722
2021-11-08,186500,208130,090430,아모레퍼시픽,-0.007978723404255317
2021-11-09,186500,237372,090430,아모레퍼시픽,0.0
2021-11-10,180000,269657,090430,아모레퍼시픽,-0.034852546916890104
2021-11-11,183000,269985,090430,아모레퍼시픽,0.016666666666666607
2021-11-12,185000,126603,090430,아모레퍼시픽,0.010928961748633892
2021-11-15,184500,226821,090430,아모레퍼시픽,-0.002702702702702675
2021-11-16,185000,128080,090430,아모레퍼시픽,0.0027100271002709064
2021-11-17,182000,149234,090430,아모레퍼시픽,-0.01621621621621616
2021-11-18,175500,197933,090430,아모레퍼시픽,-0.0357142857142857
2021-11-19,178000,139439,090430,아모레퍼시픽,0.014245014245014342
2021-11-22,178500,98746,090430,아모레퍼시픽,0.002808988764045006
2021-11-23,177000,102931,090430,아모레퍼시픽,-0.008403361344537785
2021-11-24,174000,122899,090430,아모레퍼시픽,-0.016949152542372836
2021-11-25,173500,87776,090430,아모레퍼시픽,-0.002873563218390829
2021-11-26,169500,201813,090430,아모레퍼시픽,-0.023054755043227626
2021-11-29,166500,202766,090430,아모레퍼시픽,-0.017699115044247815
2021-11-30,157000,388418,090430,아모레퍼시픽,-0.0570570570570571
2021-12-01,160500,264949,090430,아모레퍼시픽,0.022292993630573354
2021-12-02,164000,496352,090430,아모레퍼시픽,0.02180685358255441
2021-12-03,167000,203177,090430,아모레퍼시픽,0.018292682926829285
2021-12-06,172500,245246,090430,아모레퍼시픽,0.03293413173652704
2021-12-07,177000,168545,090430,아모레퍼시픽,0.026086956521739202
2021-12-08,171000,263102,090430,아모레퍼시픽,-0.03389830508474578
2021-12-09,177500,336711,090430,아모레퍼시픽,0.03801169590643272
2021-12-10,179000,106196,090430,아모레퍼시픽,0.008450704225352101
2021-12-13,178500,110959,090430,아모레퍼시픽,-0.0027932960893854997
2021-12-14,181500,242430,090430,아모레퍼시픽,0.01680672268907557
2021-12-15,189500,501753,090430,아모레퍼시픽,0.0440771349862259
2021-12-16,180000,244401,090430,아모레퍼시픽,-0.05013192612137207
2021-12-17,179500,122728,090430,아모레퍼시픽,-0.002777777777777768
2021-12-20,176500,106564,090430,아모레퍼시픽,-0.01671309192200554
2021-12-21,176500,86638,090430,아모레퍼시픽,0.0
2021-12-22,176000,89306,090430,아모레퍼시픽,-0.0028328611898017497
2021-12-23,177000,107838,090430,아모레퍼시픽,0.005681818181818121
2021-12-24,175500,113354,090430,아모레퍼시픽,-0.008474576271186418
2021-12-27,174500,93495,090430,아모레퍼시픽,-0.005698005698005715
